Id_patient,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,Id_encounter,START,STOP,PATIENT_patient,ORGANIZATION,PROVIDER,PAYER,ENCOUNTERCLASS,CODE_patient_encounter_classes,DESCRIPTION,BASE_ENCOUNTER_COST,TOTAL_CLAIM_COST,PAYER_COVERAGE,REASONCODE,REASONDESCRIPTION,row_number,death_threshold,PATIENT_encounter_classes,ambulatory,emergency,home,hospice,inpatient,outpatient,snf,urgentcare,virtual,wellness,PATIENT,CODE_conditions
bb37561b-ba65-7c47-db5b-0641bca883b4,2012-02-08,,999-16-2180,,,,Noah480,Leffler128,,,,white,nonhispanic,M,Anchorage  Alaska  US,823 Sauer Manor Unit 30,Juneau,Alaska,Juneau City and Borough,,58.36334563617582,-134.21564953658546,269257.17,8385.54,4ebe6fe3-3c4d-b505-9245-b9570fa7bbd0,2022-03-30T23:05:43Z,2022-03-30T23:20:43Z,bb37561b-ba65-7c47-db5b-0641bca883b4,6b57af4a-5757-31a8-9916-5744531df0ad,9d0ab1c5-7394-3c6a-81d1-2ca78155defd,6e2f1a2d-27bd-3701-8d08-dae202c58632,outpatient,185349003,Encounter for check up (procedure),96.72,959.47,569.32,,,1,False,bb37561b-ba65-7c47-db5b-0641bca883b4,18,2,0,0,1,6,0,2,0,17,bb37561b-ba65-7c47-db5b-0641bca883b4,43878008
62fc8f1c-cbca-4143-bcda-8075dd42eaf0,2009-09-07,,999-89-5507,,,,Woodrow571,Koepp521,,,,white,nonhispanic,M,College  Alaska  US,365 Rice Landing,Juneau,Alaska,Juneau City and Borough,99801.0,58.37697712857532,-134.16965480987716,321548.1125,3862.0875,4ea36e39-bcde-fe57-4202-ad655bb44ac3,2022-02-06T11:12:28Z,2022-02-06T11:27:28Z,62fc8f1c-cbca-4143-bcda-8075dd42eaf0,6b57af4a-5757-31a8-9916-5744531df0ad,9d0ab1c5-7394-3c6a-81d1-2ca78155defd,42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,ambulatory,394701000,Asthma follow-up,161.2,161.2,0.0,233678006.0,Childhood asthma,1,False,62fc8f1c-cbca-4143-bcda-8075dd42eaf0,12,2,0,0,0,6,0,1,0,11,62fc8f1c-cbca-4143-bcda-8075dd42eaf0,44465007
678fc07c-1cb1-acc6-3553-d848200626e9,2006-02-11,,999-92-8411,S99990200,,,Odessa199,Pfannerstill264,,,,white,nonhispanic,F,Anchorage  Alaska  US,1001 Grimes Bay,Juneau,Alaska,Juneau City and Borough,99801.0,58.3644560525976,-134.15105674081732,398085.56000000006,43.91999999999996,dfd41a3e-2975-34b0-f102-61340fa9a54a,2022-03-26T20:26:28Z,2022-03-26T20:41:28Z,678fc07c-1cb1-acc6-3553-d848200626e9,af88af59-c31c-38fd-b364-49177dd4d2f8,a6ab02b7-3621-3952-b370-ec08e63484f0,d47b3510-2895-3b70-9897-342d681c769d,wellness,410620009,Well child visit (procedure),99.01,1028.58,0.0,,,1,False,678fc07c-1cb1-acc6-3553-d848200626e9,2,0,0,0,1,2,0,0,0,10,678fc07c-1cb1-acc6-3553-d848200626e9,91861009
f69179a2-a513-c31a-3756-42ebabd3e6b2,1995-11-20,,999-41-1581,S99944700,X29553303X,Mr.,Jerald662,Lubowitz58,,,,hawaiian,nonhispanic,M,Anchorage  Alaska  US,884 Cassin Well,Juneau,Alaska,Juneau City and Borough,,58.392052151207714,-134.20223214276857,671864.6699999999,1545.54,c70a391c-838e-4470-51c5-7d4134a29a10,2022-02-28T08:26:45Z,2022-02-28T08:41:45Z,f69179a2-a513-c31a-3756-42ebabd3e6b2,05f8f781-5f80-3311-9554-682fdc24cc4a,bc6cabae-861d-3563-b162-dac17794cab4,4d71f845-a6a9-3c39-b242-14d25ef86a8d,wellness,162673000,General examination of patient (procedure),99.01,1773.57,0.0,,,1,False,f69179a2-a513-c31a-3756-42ebabd3e6b2,2,1,0,0,0,1,0,0,0,11,f69179a2-a513-c31a-3756-42ebabd3e6b2,160904001
95c6efde-dd93-2dab-ca7c-2b048da92f9a,1991-06-12,,999-64-7240,S99951681,X22255712X,Mr.,Jonathan639,Rohan584,,,M,white,nonhispanic,M,Anchorage  Alaska  US,436 Wilderman Overpass,Juneau,Alaska,Juneau City and Borough,99824.0,58.63523784540572,-134.32838775950577,780438.0175,11570.0925,d230e775-8562-3da8-2a16-9f7edb74defb,2021-10-13T09:21:38Z,2021-10-13T09:36:38Z,95c6efde-dd93-2dab-ca7c-2b048da92f9a,7c3522df-126b-305a-a0a3-7479cd6a79f6,f3a924cc-d925-3927-84a4-5616f17353b0,6e2f1a2d-27bd-3701-8d08-dae202c58632,wellness,162673000,General examination of patient (procedure),99.01,892.62,327.74,,,1,False,95c6efde-dd93-2dab-ca7c-2b048da92f9a,6,0,0,0,0,2,0,1,0,13,95c6efde-dd93-2dab-ca7c-2b048da92f9a,160903007
63f4e6de-bc2d-a760-60f1-6f3c2576bc07,1998-05-09,,999-34-2062,S99991799,X34698901X,Ms.,Amiee221,Daniel959,,,,white,nonhispanic,F,Meadow Lakes  Alaska  US,377 Rath Ville Suite 38,Juneau,Alaska,Juneau City and Borough,99824.0,58.42286509044741,-134.1912213915137,2508830.9159999983,291034.364,c97fd113-103f-644f-947f-31f85042564b,2021-12-15T13:05:13Z,2021-12-15T13:20:13Z,63f4e6de-bc2d-a760-60f1-6f3c2576bc07,6b57af4a-5757-31a8-9916-5744531df0ad,9d0ab1c5-7394-3c6a-81d1-2ca78155defd,5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,ambulatory,394701000,Asthma follow-up,161.2,161.2,0.0,195967001.0,Asthma,1,False,63f4e6de-bc2d-a760-60f1-6f3c2576bc07,91,5,0,0,0,20,0,1,0,21,63f4e6de-bc2d-a760-60f1-6f3c2576bc07,160903007
72bb9c05-6ef9-c8eb-fde2-23f946bec931,2005-02-20,,999-62-5461,S99946571,,,Bette450,Larkin917,,,,white,nonhispanic,F,Anchorage  Alaska  US,264 Schuppe Trailer Apt 13,Juneau,Alaska,Juneau City and Borough,,58.68152060603472,-134.24612248555894,461991.0925,2741.7975,59a102de-9649-f294-77a2-a878a5c3996d,2022-04-10T18:22:07Z,2022-04-10T18:37:07Z,72bb9c05-6ef9-c8eb-fde2-23f946bec931,470374d9-3947-36d3-a60d-b92575cb53c8,401fda2b-8aba-311f-a495-ef9aaab6ad39,047f6ec3-6215-35eb-9608-f9dda363a44c,wellness,410620009,Well child visit (procedure),99.01,235.01,0.0,,,1,False,72bb9c05-6ef9-c8eb-fde2-23f946bec931,3,1,0,0,0,5,1,0,0,10,72bb9c05-6ef9-c8eb-fde2-23f946bec931,195662009
2ab97182-0a31-8db3-3370-c025916b2526,1984-07-15,,999-52-9784,S99967308,X32379303X,Mrs.,Jason347,Hilpert278,,Bernhard322,M,white,nonhispanic,F,Tanaina  Alaska  US,911 Bartoletti Bay Suite 66,Juneau,Alaska,Juneau City and Borough,99801.0,58.24523056991243,-134.39355611380802,1418589.375,15081.435,1c89d8a6-80e1-0189-1246-73f1fd922f86,2021-12-26T10:44:06Z,2021-12-26T10:59:06Z,2ab97182-0a31-8db3-3370-c025916b2526,8a2b6628-992b-3a2b-a4d5-2e09316dbf52,08687478-b46a-3fbe-af7e-707f477aea91,5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,wellness,162673000,General examination of patient (procedure),99.01,1467.51,0.0,,,1,False,2ab97182-0a31-8db3-3370-c025916b2526,13,1,0,0,1,12,0,0,0,20,2ab97182-0a31-8db3-3370-c025916b2526,741062008
27c542e6-abba-f017-8a0d-24fc327ae9b8,1984-04-06,,999-50-8868,S99913891,X5473487X,Mrs.,Lovie151,Hoppe518,,O'Kon634,M,white,nonhispanic,F,Trapper Creek  Alaska  US,382 Turner Ferry,Juneau,Alaska,Juneau City and Borough,99801.0,58.32386029656052,-134.18658708999726,2068222.4035,174901.7265,7ef975d6-39d5-b848-4758-547db41ffd03,2021-08-06T23:56:53Z,2021-08-07T00:11:53Z,27c542e6-abba-f017-8a0d-24fc327ae9b8,6b57af4a-5757-31a8-9916-5744531df0ad,9d0ab1c5-7394-3c6a-81d1-2ca78155defd,b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,ambulatory,169762003,Postnatal visit,161.2,1336.3,0.0,,,1,False,27c542e6-abba-f017-8a0d-24fc327ae9b8,33,3,0,0,0,5,0,0,0,9,27c542e6-abba-f017-8a0d-24fc327ae9b8,195662009
4ad509f6-988a-e927-666e-229254813a8c,1971-05-24,,999-81-6620,S99921057,X86691623X,Mrs.,Kerri159,Bergstrom287,,Kozey370,M,white,nonhispanic,F,Anchorage  Alaska  US,611 Kutch Alley,Juneau,Alaska,Juneau City and Borough,99824.0,58.24184111071009,-134.36567746421912,3072942.673499999,611497.2165,e6e61197-79db-408c-c694-36b740e62fca,2021-11-22T21:24:07Z,2021-11-22T21:39:07Z,4ad509f6-988a-e927-666e-229254813a8c,03ed2870-6e8b-3eaa-b7f2-211914f1511c,3efa2aca-0aee-3b31-b0eb-ef92a647e444,42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,wellness,162673000,General examination of patient (procedure),99.01,958.6,0.0,,,1,False,4ad509f6-988a-e927-666e-229254813a8c,14,1,0,0,1,6,0,0,0,23,4ad509f6-988a-e927-666e-229254813a8c,160903007
